C_no	H_no	N_no	O_no	S_no	Aliphatic_atom_count	Aliphatic_bond_count	Aliphatic_ring_count	Aromatic_atom_count	Aromatic_bond_count	Aromatic_ring_count	Asymmetric_atom_count	Bond_count	Carboaromatic_ring_count	Carbo_ring_count	Chain_atom_count	Chiral_center_count	Cyclomatic_number	Balaban_index	Dreiding_energy	Fused_aliphatic_ring_count	Fused_aromatic_ring_count	Fused_ring_count	Heteroaliphatic_ring_count	Heteroaromatic_ring_count	Hetero_ring_count	Hyper_wiener_index	Largest_ring_size	Largest_ring_system_size	Mass	Maximal_projection_area	Maximal_projection_radius	Length_perpendicular_to_the_max_area	Minimal_projection_area	Minimal_projection_radius	Length_perpendicular_to_the_min_area	Platt_index	Randic_index	Szeged_index	Refractivity	Ring_atom_count	Ring_bond_count	Ring_count	Ring_count_of_atom	Ring_system_count	Rotatable_bond_count	Atom_count	Aliphatic_atom_count.1	Aromatic_atom_count.1	Bond_count.1	Aliphatic_bond_count.1	Aromatic_bond_count.1	Rotatable_bond_count.1	Ring_count.1	Aliphatic_ring_count.1	Aromatic_ring_count.1	Hetero_ring_count.1	Heteroaliphatic_ring_count.1	Heteroaromatic_ring_count.1	Ring_atom_count.1	Ring_bond_count.1	Chain_atom_count.1	Chain_bond_count	Largest_ring_size.1	Atom_count.1	Aliphatic_atom_count.2	Aromatic_atom_count.2	Bond_count.2	Aliphatic_bond_count.2	Aromatic_bond_count.2	Rotatable_bond_count.2	Ring_count.2	Aliphatic_ring_count.2	Aromatic_ring_count.2	Hetero_ring_count.2	Heteroaliphatic_ring_count.2	Heteroaromatic_ring_count.2	Ring_atom_count.2	Ring_bond_count.2	Chain_atom_count.2	Chain_bond_count.1	Largest_ring_size.2	van_der_Waals_volume	pI	Quaternary_structure	PLGA_visc	PLGA_Mw	La_to_Gly	PVA_conc_inner_phase	PVA_conc_outer_phase	PVA_Mw	Inner_phase_volume	Encaps_rate	Mean_part_size	Block_polymer	PLGA_conc	PLGA_to_Placticizer	diss_pH	diss_add	diss_add_conc	Prod_method	Atom_count.2	Aliphatic_atom_count.3	Bond_count.3	Aliphatic_bond_count.3	Rotatable_bond_count.3	Ring_count.3	Aliphatic_ring_count.3	Hetero_ring_count.3	Heteroaliphatic_ring_count.3	Ring_atom_count.3	Ring_bond_count.3	Chain_atom_count.3	Chain_bond_count.2	Smallest_ring_size	Largest_ring_size.3	Mass.1	molecular	a_xx_	a_yy_	a_zz_	a_yy_.1	ASA	ASA+	ASA-	ASA_H	ASA_P	Polar_surface_area	Asymmetric_atom_count.1	Bond_count.4	Chiral_center_count.1	Cyclomatic_number.1	Dreiding_energy.1	Fragment_count	Harary_index	Hyper_wiener_index.1	Maximal_projection_area.1	Maximal_projection_radius.1	Minimal_projection_area.1	Minimal_projection_radius.1	Van_der_Waals_surface_area__3D_	Platt_index.1	Randic_index.1	Szeged_index.1	Wiener_index	Wiener_polarity	Stereoisomer_count	count	Markush_library_size	pH_0_logd	pH_1_logd	pH_2_logd	pH_3_logd	pH_4_logd	pH_5_logd	pH_6_logd	pH_7_logd	pH_8_logd	pH_9_logd	pH_10_logd	pH_11_logd	pH_12_logd	pH_13_logd	pH_14_logd	logP	bpKa1	bpKa2	acceptorcount	donorcount	pH_0_msacc	pH_1_msacc	pH_2_msacc	pH_3_msacc	pH_4_msacc	pH_5_msacc	pH_6_msacc	pH_7_msacc	pH_8_msacc	pH_9_msacc	pH_10_msacc	pH_11_msacc	pH_12_msacc	pH_13_msacc	pH_14_msacc	pH_0_msdon	pH_1_msdon	pH_2_msdon	pH_3_msdon	pH_4_msdon	pH_5_msdon	pH_6_msdon	pH_7_msdon	pH_8_msdon	pH_9_msdon	pH_10_msdon	pH_11_msdon	pH_12_msdon	pH_13_msdon	pH_14_msdon	Atom_count.3	Aliphatic_atom_count.4	Aromatic_atom_count.3	Bond_count.5	Aliphatic_bond_count.4	Aromatic_bond_count.3	Rotatable_bond_count.4	Ring_count.4	Aliphatic_ring_count.4	Hetero_ring_count.4	Heteroaliphatic_ring_count.4	Ring_atom_count.4	Ring_bond_count.4	Chain_atom_count.4	Chain_bond_count.3	Smallest_ring_size.1	Largest_ring_size.4	Mass.2	molecular.1	a_xx_.1	a_yy_.2	a_zz_.1	a_yy_.3	ASA.1	ASA+.1	ASA-.1	ASA_H.1	ASA_P.1	Polar_surface_area.1	Asymmetric_atom_count.2	Bond_count.6	Chiral_center_count.2	Cyclomatic_number.2	Dreiding_energy.2	Fragment_count.1	Harary_index.1	Hyper_wiener_index.2	Maximal_projection_area.2	Maximal_projection_radius.2	Minimal_projection_area.2	Minimal_projection_radius.2	Van_der_Waals_surface_area__3D_.1	Platt_index.2	Randic_index.2	Szeged_index.2	Wiener_index.1	Wiener_polarity.1	Stereoisomer_count.1	count.1	Markush_library_size.1	pH_0_logd.1	pH_1_logd.1	pH_2_logd.1	pH_3_logd.1	pH_4_logd.1	pH_5_logd.1	pH_6_logd.1	pH_7_logd.1	pH_8_logd.1	pH_9_logd.1	pH_10_logd.1	pH_11_logd.1	pH_12_logd.1	pH_13_logd.1	pH_14_logd.1	logP.1	bpKa1.1	bpKa2.1	acceptorcount.1	donorcount.1	pH_0_msacc.1	pH_1_msacc.1	pH_2_msacc.1	pH_3_msacc.1	pH_4_msacc.1	pH_5_msacc.1	pH_6_msacc.1	pH_7_msacc.1	pH_8_msacc.1	pH_9_msacc.1	pH_10_msacc.1	pH_11_msacc.1	pH_12_msacc.1	pH_13_msacc.1	pH_14_msacc.1	pH_0_msdon.1	pH_1_msdon.1	pH_2_msdon.1	pH_3_msdon.1	pH_4_msdon.1	pH_5_msdon.1	pH_6_msdon.1	pH_7_msdon.1	pH_8_msdon.1	pH_9_msdon.1	pH_10_msdon.1	pH_11_msdon.1	pH_12_msdon.1	pH_13_msdon.1	pH_14_msdon.1	Time_Days	Q_perc
254	377	65	75	6	348	359	3	52	52	9	49	788	7	7	251	49	12	1.0	1005.12	2	0	2	3	2	5	61404185	81	2	5733.491999999999	902.55	26.43	36.04	643.59	18.61	52.86	2806	340.23	4598227	1441.81	149	150	12	1	11	123	777	348	52	788	359	52	123	12	3	9	5	3	2	149	150	251	261	81	777	348	52	788	359	52	123	12	3	9	5	3	2	149	150	251	261	81	5145.68	5.3	1	0.53	40500	1	0.0	0.5	205000	2.5	59.0	26.2	1	20.0	40.0	7.4	2	0.07	1	357	161	364	168	70	8	8	8	8	49	56	112	112	6	35	2354.646	245.11	247.62	254.33	233.37	254.33	2672.61	2090.79	581.82	2241.12	431.49	747.88	56	364	56	8	450.07	1	1463.07	1362767	381.54	12.67	251.82	11.94	3694.11	1372	153.77	400806	166551	259	1	1	1	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.64	-4.68	-5.09	-4.63	-2.86	-2.86	56	21	56	56	56	56	56	56	56	56	56	56	56	56	56.01	56.11	56.99	21	21	21	21	21	21	21	21	21	21	21	21	20.99	20.89	20.01	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	78.298
254	377	65	75	6	348	359	3	52	52	9	49	788	7	7	251	49	12	1.0	1005.12	2	0	2	3	2	5	61404185	81	2	5733.491999999999	902.55	26.43	36.04	643.59	18.61	52.86	2806	340.23	4598227	1441.81	149	150	12	1	11	123	777	348	52	788	359	52	123	12	3	9	5	3	2	149	150	251	261	81	777	348	52	788	359	52	123	12	3	9	5	3	2	149	150	251	261	81	5145.68	5.3	1	0.53	40500	1	0.0	0.5	205000	2.5	59.0	26.2	1	20.0	40.0	7.4	2	0.07	1	357	161	364	168	70	8	8	8	8	49	56	112	112	6	35	2354.646	245.11	247.62	254.33	233.37	254.33	2672.61	2090.79	581.82	2241.12	431.49	747.88	56	364	56	8	450.07	1	1463.07	1362767	381.54	12.67	251.82	11.94	3694.11	1372	153.77	400806	166551	259	1	1	1	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.64	-4.68	-5.09	-4.63	-2.86	-2.86	56	21	56	56	56	56	56	56	56	56	56	56	56	56	56.01	56.11	56.99	21	21	21	21	21	21	21	21	21	21	21	21	20.99	20.89	20.01	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	3.9739999999999998	89.787
254	377	65	75	6	348	359	3	52	52	9	49	788	7	7	251	49	12	1.0	1005.12	2	0	2	3	2	5	61404185	81	2	5733.491999999999	902.55	26.43	36.04	643.59	18.61	52.86	2806	340.23	4598227	1441.81	149	150	12	1	11	123	777	348	52	788	359	52	123	12	3	9	5	3	2	149	150	251	261	81	777	348	52	788	359	52	123	12	3	9	5	3	2	149	150	251	261	81	5145.68	5.3	1	0.53	40500	1	0.0	0.5	205000	2.5	59.0	26.2	1	20.0	40.0	7.4	2	0.07	1	357	161	364	168	70	8	8	8	8	49	56	112	112	6	35	2354.646	245.11	247.62	254.33	233.37	254.33	2672.61	2090.79	581.82	2241.12	431.49	747.88	56	364	56	8	450.07	1	1463.07	1362767	381.54	12.67	251.82	11.94	3694.11	1372	153.77	400806	166551	259	1	1	1	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.63	-4.64	-4.68	-5.09	-4.63	-2.86	-2.86	56	21	56	56	56	56	56	56	56	56	56	56	56	56	56.01	56.11	56.99	21	21	21	21	21	21	21	21	21	21	21	21	20.99	20.89	20.01	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	6.974	85.95700000000001
1904	2988	482	559	10	2689	2748	15	266	268	47	397	6004	35	35	2614	397	62	6004.0	21044.93	0	4	4	15	12	27	140759740	6	2	41895.642	2688.32	42.8	51.81	1750.41	26.53	85.01	8150	1392.23	1624042970	10559.42	341	343	62	0	60	1419	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	38320.08	4.0	1	0.675	61500	1	0.0	0.0	0	3.0	88.0	0.336	1	0.833	6.25	7.4	0	0.0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	74	30.0	0.0	74	30.0	0.0	19	1.0	1	1	1	5	5	25	25.0	5.0	5	428.603	51.24	40.21	48.72	64.77	48.72	831.24	626.57	204.68	710.27	120.97	96.22	4.0	74	4.0	1	79.22	1.0	98.02	27396.0	140.21	13.34	60.89	6.06	756.89	280.0	31.58	3993.0	3915.0	34.0	2.0	3.0	1	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.87	4.81	4.35	2.88	4.88	-3.52	-3.54	5.0	3	6	6.0	6.0	6.0	6.0	6.0	6	6	6	6	6	6.02	6.16	6.9	8.02	3	3.0	3.0	3.0	3.0	3.0	3	3	3	3	3	2.98	2.84	2.1	0.98	0.0	0.0
1904	2988	482	559	10	2689	2748	15	266	268	47	397	6004	35	35	2614	397	62	6004.0	21044.93	0	4	4	15	12	27	140759740	6	2	41895.642	2688.32	42.8	51.81	1750.41	26.53	85.01	8150	1392.23	1624042970	10559.42	341	343	62	0	60	1419	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	38320.08	4.0	1	0.675	61500	1	0.0	0.0	0	3.0	88.0	0.336	1	0.833	6.25	7.4	0	0.0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	74	30.0	0.0	74	30.0	0.0	19	1.0	1	1	1	5	5	25	25.0	5.0	5	428.603	51.24	40.21	48.72	64.77	48.72	831.24	626.57	204.68	710.27	120.97	96.22	4.0	74	4.0	1	79.22	1.0	98.02	27396.0	140.21	13.34	60.89	6.06	756.89	280.0	31.58	3993.0	3915.0	34.0	2.0	3.0	1	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.87	4.81	4.35	2.88	4.88	-3.52	-3.54	5.0	3	6	6.0	6.0	6.0	6.0	6.0	6	6	6	6	6	6.02	6.16	6.9	8.02	3	3.0	3.0	3.0	3.0	3.0	3	3	3	3	3	2.98	2.84	2.1	0.98	1.194	21.639
1904	2988	482	559	10	2689	2748	15	266	268	47	397	6004	35	35	2614	397	62	6004.0	21044.93	0	4	4	15	12	27	140759740	6	2	41895.642	2688.32	42.8	51.81	1750.41	26.53	85.01	8150	1392.23	1624042970	10559.42	341	343	62	0	60	1419	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	38320.08	4.0	1	0.675	61500	1	0.0	0.0	0	3.0	88.0	0.336	1	0.833	6.25	7.4	0	0.0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	74	30.0	0.0	74	30.0	0.0	19	1.0	1	1	1	5	5	25	25.0	5.0	5	428.603	51.24	40.21	48.72	64.77	48.72	831.24	626.57	204.68	710.27	120.97	96.22	4.0	74	4.0	1	79.22	1.0	98.02	27396.0	140.21	13.34	60.89	6.06	756.89	280.0	31.58	3993.0	3915.0	34.0	2.0	3.0	1	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.87	4.81	4.35	2.88	4.88	-3.52	-3.54	5.0	3	6	6.0	6.0	6.0	6.0	6.0	6	6	6	6	6	6.02	6.16	6.9	8.02	3	3.0	3.0	3.0	3.0	3.0	3	3	3	3	3	2.98	2.84	2.1	0.98	2.3890000000000002	25.901999999999997
1904	2988	482	559	10	2689	2748	15	266	268	47	397	6004	35	35	2614	397	62	6004.0	21044.93	0	4	4	15	12	27	140759740	6	2	41895.642	2688.32	42.8	51.81	1750.41	26.53	85.01	8150	1392.23	1624042970	10559.42	341	343	62	0	60	1419	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	38320.08	4.0	1	0.675	61500	1	0.0	0.0	0	3.0	88.0	0.336	1	0.833	6.25	7.4	0	0.0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	74	30.0	0.0	74	30.0	0.0	19	1.0	1	1	1	5	5	25	25.0	5.0	5	428.603	51.24	40.21	48.72	64.77	48.72	831.24	626.57	204.68	710.27	120.97	96.22	4.0	74	4.0	1	79.22	1.0	98.02	27396.0	140.21	13.34	60.89	6.06	756.89	280.0	31.58	3993.0	3915.0	34.0	2.0	3.0	1	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.87	4.81	4.35	2.88	4.88	-3.52	-3.54	5.0	3	6	6.0	6.0	6.0	6.0	6.0	6	6	6	6	6	6.02	6.16	6.9	8.02	3	3.0	3.0	3.0	3.0	3.0	3	3	3	3	3	2.98	2.84	2.1	0.98	3.528	29.18
1904	2988	482	559	10	2689	2748	15	266	268	47	397	6004	35	35	2614	397	62	6004.0	21044.93	0	4	4	15	12	27	140759740	6	2	41895.642	2688.32	42.8	51.81	1750.41	26.53	85.01	8150	1392.23	1624042970	10559.42	341	343	62	0	60	1419	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	38320.08	4.0	1	0.675	61500	1	0.0	0.0	0	3.0	88.0	0.336	1	0.833	6.25	7.4	0	0.0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	74	30.0	0.0	74	30.0	0.0	19	1.0	1	1	1	5	5	25	25.0	5.0	5	428.603	51.24	40.21	48.72	64.77	48.72	831.24	626.57	204.68	710.27	120.97	96.22	4.0	74	4.0	1	79.22	1.0	98.02	27396.0	140.21	13.34	60.89	6.06	756.89	280.0	31.58	3993.0	3915.0	34.0	2.0	3.0	1	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.87	4.81	4.35	2.88	4.88	-3.52	-3.54	5.0	3	6	6.0	6.0	6.0	6.0	6.0	6	6	6	6	6	6.02	6.16	6.9	8.02	3	3.0	3.0	3.0	3.0	3.0	3	3	3	3	3	2.98	2.84	2.1	0.98	4.7219999999999995	35.082
1904	2988	482	559	10	2689	2748	15	266	268	47	397	6004	35	35	2614	397	62	6004.0	21044.93	0	4	4	15	12	27	140759740	6	2	41895.642	2688.32	42.8	51.81	1750.41	26.53	85.01	8150	1392.23	1624042970	10559.42	341	343	62	0	60	1419	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	38320.08	4.0	1	0.675	61500	1	0.0	0.0	0	3.0	88.0	0.336	1	0.833	6.25	7.4	0	0.0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	74	30.0	0.0	74	30.0	0.0	19	1.0	1	1	1	5	5	25	25.0	5.0	5	428.603	51.24	40.21	48.72	64.77	48.72	831.24	626.57	204.68	710.27	120.97	96.22	4.0	74	4.0	1	79.22	1.0	98.02	27396.0	140.21	13.34	60.89	6.06	756.89	280.0	31.58	3993.0	3915.0	34.0	2.0	3.0	1	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.87	4.81	4.35	2.88	4.88	-3.52	-3.54	5.0	3	6	6.0	6.0	6.0	6.0	6.0	6	6	6	6	6	6.02	6.16	6.9	8.02	3	3.0	3.0	3.0	3.0	3.0	3	3	3	3	3	2.98	2.84	2.1	0.98	5.917000000000001	41.638999999999996
1904	2988	482	559	10	2689	2748	15	266	268	47	397	6004	35	35	2614	397	62	6004.0	21044.93	0	4	4	15	12	27	140759740	6	2	41895.642	2688.32	42.8	51.81	1750.41	26.53	85.01	8150	1392.23	1624042970	10559.42	341	343	62	0	60	1419	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	38320.08	4.0	1	0.675	61500	1	0.0	0.0	0	3.0	88.0	0.336	1	0.833	6.25	7.4	0	0.0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	74	30.0	0.0	74	30.0	0.0	19	1.0	1	1	1	5	5	25	25.0	5.0	5	428.603	51.24	40.21	48.72	64.77	48.72	831.24	626.57	204.68	710.27	120.97	96.22	4.0	74	4.0	1	79.22	1.0	98.02	27396.0	140.21	13.34	60.89	6.06	756.89	280.0	31.58	3993.0	3915.0	34.0	2.0	3.0	1	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.87	4.81	4.35	2.88	4.88	-3.52	-3.54	5.0	3	6	6.0	6.0	6.0	6.0	6.0	6	6	6	6	6	6.02	6.16	6.9	8.02	3	3.0	3.0	3.0	3.0	3.0	3	3	3	3	3	2.98	2.84	2.1	0.98	7.082999999999999	49.18
1904	2988	482	559	10	2689	2748	15	266	268	47	397	6004	35	35	2614	397	62	6004.0	21044.93	0	4	4	15	12	27	140759740	6	2	41895.642	2688.32	42.8	51.81	1750.41	26.53	85.01	8150	1392.23	1624042970	10559.42	341	343	62	0	60	1419	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	5943	2689	266	6004	2748	268	1419	62	15	47	27	15	12	341	343	2614	2673	6	38320.08	4.0	1	0.675	61500	1	0.0	0.0	0	3.0	88.0	0.336	1	0.833	6.25	7.4	0	0.0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	74	30.0	0.0	74	30.0	0.0	19	1.0	1	1	1	5	5	25	25.0	5.0	5	428.603	51.24	40.21	48.72	64.77	48.72	831.24	626.57	204.68	710.27	120.97	96.22	4.0	74	4.0	1	79.22	1.0	98.02	27396.0	140.21	13.34	60.89	6.06	756.89	280.0	31.58	3993.0	3915.0	34.0	2.0	3.0	1	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.88	4.87	4.81	4.35	2.88	4.88	-3.52	-3.54	5.0	3	6	6.0	6.0	6.0	6.0	6.0	6	6	6	6	6	6.02	6.16	6.9	8.02	3	3.0	3.0	3.0	3.0	3.0	3	3	3	3	3	2.98	2.84	2.1	0.98	8.25	50.163999999999994
